Sr.,Stock Name,Symbol
1,Motherson Sumi Wiring India Ltd,MSUMI
2,Aegis Logistics Ltd,AEGISLOG
3,Mahindra & Mahindra Financial Services Limited,M&MFIN
4,Sterlite Technologies Limited,STLTECH
5,HFCL Ltd,HFCL
6,Tata Motors Commercial Vehicles Ltd,TMCV
7,Samvardhana Motherson International Ltd,MOTHERSON
8,Oracle Financial Services Software Limited,OFSS
9,Asahi India Glass Limited,ASAHIINDIA
10,Grindwell Norton Limited,GRINDWELL
11,Interglobe Aviation Limited,INDIGO
12,Max Healthcare Institute Ltd,MAXHEALTH
13,Mahindra & Mahindra Limited,M&M
14,Maruti Suzuki India Limited,MARUTI
15,Tvs Motor Company Limited,TVSMOTOR
16,Ashok Leyland Limited,ASHOKLEY
17,Astra Microwave Products Limited,ASTRAMICRO
18,Welspun Corp Limited,WELCORP
19,One 97 Communications Ltd,PAYTM
20,Aditya Birla Real Estate Ltd,ABREL
21,Sundram Fasteners Limited,SUNDRMFAST
22,TATA Consumer Products Ltd,TATACONSUM
23,Uno Minda Ltd,UNOMINDA
24,SBI Cards & Payment Services Ltd,SBICARD
25,Poonawalla Fincorp Ltd,POONAWALLA
26,Tata Capital Ltd,TATACAP
27,Shriram Pistons & Rings Limited,SHRIPISTON
28,Thangamayil Jewellery Limited,THANGAMAYL
29,MTAR Technologies Ltd,MTARTECH
30,Force Motors Ltd,FORCEMOT
31,CG Power and Industrial Solutions Ltd,CGPOWER
32,Tata Chemicals Limited,TATACHEM
33,Aadhar Housing Finance Ltd,AADHARHFC
34,Himadri Speciality Chemical Limited,HSCL
35,Emcure Pharmaceuticals Ltd,EMCURE
36,International Gemmological Institute (India) Ltd,IGIL
37,Apollo Tyres Limited,APOLLOTYRE
38,R R Kabel Ltd,RRKABEL
39,Choice International Ltd,CHOICEIN
40,Radico Khaitan Limited,RADICO
41,Kaynes Technology India Ltd,KAYNES
42,United Spirits Ltd,UNITDSPR
43,HDB Financial Services Ltd,HDBFS
44,Siemens Limited,SIEMENS
45,Dr. Lal Path Labs Ltd.,LALPATHLAB
46,Rubicon Research Ltd,RUBICON
47,Cupid Limited,CUPID
48,Dr. Reddy's Laboratories Limited,DRREDDY
49,Godrej Properties Limited,GODREJPROP
50,Aurobindo Pharma Limited,AUROPHARMA
51,Cummins India Limited,CUMMINSIND
52,Berger Paints (i) Limited,BERGEPAINT
53,Thermax Limited,THERMAX
54,Anand Rathi Wealth Ltd,ANANDRATHI
55,TBO Tek Ltd,TBOTEK
56,Nestle India Limited,NESTLEIND
57,Indraprastha Gas Limited,IGL
58,Colgate Palmolive (india) Limited,COLPAL
59,Hyundai Motor India Ltd,HYUNDAI
60,Godrej Consumer Products Limited,GODREJCP
61,Sai Life Sciences Ltd,SAILIFE
62,Sarda Energy & Minerals Limited,SARDAEN
63,Tata Investment Corporation Limited,TATAINVEST
64,Shriram Finance Ltd,SHRIRAMFIN
65,Motilal Oswal Financial Services Limited,MOTILALOFS
66,TVS Holdings Ltd,TVSHLTD
67,Jk Cement Limited,JKCEMENT
68,Pidilite Industries Limited,PIDILITIND
69,Natco Pharma Limited,NATCOPHARM
70,Syrma SGS Technology Ltd,SYRMA
71,NTPC Green Energy Ltd,NTPCGREEN
72,Bharat Forge Limited,BHARATFORG
73,State Bank Of India Ltd,SBIN
74,Lodha Developers Ltd,LODHA
75,Jindal Saw Limited,JINDALSAW
76,Icici Bank Limited,ICICIBANK
77,Honeywell Automation India Limited,HONAUT
78,Lloyds Metals & Energy Ltd,LLOYDSME
79,Tata Motors Passenger Vehicles Ltd,TMPV
80,Prestige Estates Projects Limited,PRESTIGE
81,Travel Food Services Ltd,TRAVELFOOD
82,Acutaas Chemicals Ltd,ACUTAAS
83,Bajaj Auto Limited,BAJAJ-AUTO
84,HDFC Asset Management Company Ltd,HDFCAMC
