Sr. No.,SECURITY,SYMBOL
1,Motherson Sumi Wiring India Limited,MSUMI
2,AEGIS LOGISTICS LIMITED,AEGISLOG
3,Mahindra & Mahindra Financial Services Limited,M&MFIN
4,Samvardhana Motherson International Limited,MOTHERSON
5,Oracle Financial Services Software Limited,OFSS
6,Asahi India Glass Limited,ASAHIINDIA
7,Grindwell Norton Limited,GRINDWELL
8,Max Healthcare Institute Limited,MAXHEALTH
9,Mahindra & Mahindra Limited,M&M
10,Maruti Suzuki India Limited,MARUTI
11,TVS Motor Company Limited,TVSMOTOR
12,Astra Microwave Products Limited,ASTRAMICRO
13,Welspun Corp Limited,WELCORP
14,Sundram Fasteners Limited,SUNDRMFAST
15,Tata Consumer Products Limited,TATACONSUM
16,Uno Minda Limited,UNOMINDA
17,SBI Cards and Payment Services Limited,SBICARD
18,TATA CAPITAL LIMITED,TATACAP
19,Thangamayil Jewellery Limited,THANGAMAYL
20,MTAR Technologies Limited,MTARTECH
21,CG Power and Industrial Solutions Limited,CGPOWER
22,AADHAR HOUSING FINANCE L,AADHARHFC
23,Himadri Speciality Chemical Limited,HSCL
24,EMCURE PHARMACEUTICALS L,EMCURE
25,International Gemological Institute Limited,IGIL
26,Apollo Tyres Limited,APOLLOTYRE
27,R R Kabel Limited,RRKABEL
28,Choice International Limited,CHOICEIN
29,Radico Khaitan Limited,RADICO
30,UNITED SPIRITS LIMITED,UNITDSPR
31,HDB FINANCIAL SERVICES L,HDBFS
32,Dr. Lal PathLabs Limited,LALPATHLAB
33,RUBICON RESEARCH LIMITED,RUBICON
34,Cupid Limited,CUPID
35,Aurobindo Pharma Limited,AUROPHARMA
36,Cummins India Limited,CUMMINSIND
37,Berger Paints India Limited,BERGEPAINT
38,Thermax Limited,THERMAX
39,Anand Rathi Wealth Limited,ANANDRATHI
40,TBO TEK LIMITED,TBOTEK
41,Nestlé India Limited,NESTLEIND
42,Indraprastha Gas Limited,IGL
43,Colgate-Palmolive (India) Limited,COLPAL
44,HYUNDAI MOTOR INDIA LTD,HYUNDAI
45,Godrej Consumer Products Limited,GODREJCP
46,SAI LIFE SCIENCES LIMITED,SAILIFE
47,Sarda Energy & Minerals Limited,SARDAEN
48,Tata Investment Corporation Limited,TATAINVEST
49,TVS Holdings Limited,TVSHLTD
50,J.K. Cement Limited,JKCEMENT
51,Pidilite Industries Limited,PIDILITIND
52,Syrma SGS Technology Limited,SYRMA
53,State Bank of India,SBIN
54,Lodha Developers Limited,LODHA
55,ICICI Bank Limited,ICICIBANK
56,Honeywell Automation India Limited,HONAUT
57,Lloyds Metals and Energy Limited,LLOYDSME
58,TRAVEL FOOD SERVICES LTD,TRAVELFOOD
59,Acutaas Chemicals Limited,ACUTAAS
60,Bajaj Auto Limited,BAJAJ-AUTO
61,HDFC Asset Management Company Limited,HDFCAMC
62,Redington Limited,REDINGTON
63,KPIT Technologies Limited,KPITTECH
64,Atul Ltd,ATUL
65,Coromandel International Limited,COROMANDEL
66,VENTIVE HOSPITALITY LTD,VENTIVE
67,Larsen & Toubro Limited,LT
68,L&T Finance Limited,LTF
69,Marico Limited,MARICO
70,Sagility Limited,SAGILITY
71,Hindustan Unilever Limited,HINDUNILVR
72,Kotak Mahindra Bank Limited,KOTAKBANK
73,Nuvama Wealth Management Limited,NUVAMA
74,AEGIS VOPAK TERMINALS LTD,AEGISVOPAK
