Sr. No.,SECURITY,SYMBOL
106,Lodha Developers Limited,LODHA
107,Mahanagar Gas Limited,MGL
108,Marico Limited,MARICO
109,Maruti Suzuki India Limited,MARUTI
110,Max Healthcare Institute Limited,MAXHEALTH
111,Mphasis Limited,MPHASIS
112,Multi Commodity Exchange of India Limited,MCX
113,Muthoot Finance Limited,MUTHOOTFIN
114,NBCC (India) Limited,NBCC
115,NHPC Limited,NHPC
116,NMDC Limited,NMDC
117,NTPC Limited,NTPC
118,National Aluminium Company Limited,NATIONALUM
119,Nestlé India Limited,NESTLEIND
120,Oberoi Realty Limited,OBEROIRLTY
121,Oil and Natural Gas Corporation Limited,ONGC
122,Oil India Limited,OIL
123,Oracle Financial Services Software Limited,OFSS
124,PB Fintech Limited,POLICYBZR
125,PI Industries Limited,PIIND
126,Patanjali Foods Limited,PATANJALI
127,Petronet LNG Limited,PETRONET
128,Pidilite Industries Limited,PIDILITIND
129,Polycab India Limited,POLYCAB
130,Poonawalla Fincorp Limited,POONAWALLA
131,Power Finance Corporation Limited,PFC
132,Power Grid Corporation of India Limited,POWERGRID
133,Prestige Estates Projects Limited,PRESTIGE
134,Punjab National Bank,PNB
135,RBL Bank Limited,RBLBANK
136,REC Limited,RECLTD
137,Reliance Industries Limited,RELIANCE
138,SBI Cards and Payment Services Limited,SBICARD
139,Shree Cement Limited,SHREECEM
140,SRF Limited,SRF
141,Samvardhana Motherson International Limited,MOTHERSON
142,Shriram Finance Limited,SHRIRAMFIN
143,Siemens Limited,SIEMENS
144,Solar Industries India Limited,SOLARINDS
145,Sona BLW Precision Forgings Limited,SONACOMS
146,State Bank of India,SBIN
147,Steel Authority of India Limited,SAIL
148,Sun Pharmaceutical Industries Limited,SUNPHARMA
149,The Supreme Industries Limited,SUPREMEIND
150,Syngene International Limited,SYNGENE
151,Tata Consumer Products Limited,TATACONSUM
152,TVS Motor Company Limited,TVSMOTOR
153,Tata Communications Limited,TATACOMM
154,Tata Consultancy Services Limited,TCS
155,Tata Elxsi Limited,TATAELXSI
156,TATA MOTORS LIMITED,TMCV
157,Tata Steel Limited,TATASTEEL
158,Tata Technologies Limited,TATATECH
159,Tech Mahindra Limited,TECHM
160,The Federal Bank Limited,FEDERALBNK
161,The Indian Hotels Company Limited,INDHOTEL
162,The Phoenix Mills Limited,PHOENIXLTD
163,Titan Company Limited,TITAN
164,Torrent Pharmaceuticals Limited,TORNTPHARM
165,Torrent Power Limited,TORNTPOWER
166,Trent Limited,TRENT
167,Tube Investments of India Limited,TIINDIA
168,UPL Limited,UPL
169,UltraTech Cement Limited,ULTRACEMCO
170,UNITED SPIRITS LIMITED,UNITDSPR
171,Varun Beverages Limited,VBL
172,Vedanta Limited,VEDL
173,Voltas Limited,VOLTAS
174,Wipro Limited,WIPRO
175,Zydus Lifesciences Limited,ZYDUSLIFE
176,Hitachi Energy India Limited,POWERINDIA
177,Page Industries Limited,PAGEIND
178,Aditya Birla Capital Limited,ABCAPITAL
179,Adani Power Limited,ADANIPOWER
