Sr. No.,SECURITY,SYMBOL
2,ACC Limited,ACC
3,APL Apollo Tubes Limited,APLAPOLLO
4,AU Small Finance Bank Limited,AUBANK
5,Aarti Industries Limited,AARTIIND
6,Adani Energy Solutions Limited,ADANIENSOL
7,Adani Enterprises Limited,ADANIENT
8,Adani Green Energy Limited,ADANIGREEN
9,Adani Ports and Special Economic Zone Limited,ADANIPORTS
10,Adani Total Gas Limited,ATGL
11,Aditya Birla Capital Limited,ABCAPITAL
12,Aditya Birla Fashion and Retail Limited,ABFRL
13,Alkem Laboratories Limited,ALKEM
14,Ambuja Cements Limited,AMBUJACEM
15,Angel One Limited,ANGELONE
16,Apollo Hospitals Enterprise Limited,APOLLOHOSP
18,Ashok Leyland Limited,ASHOKLEY
19,Asian Paints Limited,ASIANPAINT
20,Astral Limited,ASTRAL
21,Aurobindo Pharma Limited,AUROPHARMA
22,Avenue Supermarts Limited,DMART
23,Axis Bank Limited,AXISBANK
24,BIRLASOFT LIMITED,BSOFT
25,BSE Limited,BSE
26,Bajaj Auto Limited,BAJAJ-AUTO
27,Bajaj Finance Limited,BAJFINANCE
28,Bajaj Finserv Limited,BAJAJFINSV
29,Balkrishna Industries Limited,BALKRISIND
30,Bandhan Bank Limited,BANDHANBNK
31,Bank of Baroda,BANKBARODA
32,Bank of India,BANKINDIA
34,Bharat Electronics Limited,BEL
35,Bharat Forge Limited,BHARATFORG
36,Bharat Heavy Electricals Limited,BHEL
37,Bharat Petroleum Corporation Limited,BPCL
38,Bharti Airtel Limited,BHARTIARTL
39,Biocon Limited,BIOCON
40,Bosch Limited,BOSCHLTD
41,Britannia Industries Limited,BRITANNIA
42,CESC Limited,CESC
43,CG Power and Industrial Solutions Limited,CGPOWER
44,Canara Bank,CANBK
45,Central Depository Services (India) Limited,CDSL
46,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
47,Cholamandalam Investment and Finance Company Limited,CHOLAFIN
48,Cipla Limited,CIPLA
49,Coal India Limited,COALINDIA
50,Coforge Limited,COFORGE
51,Colgate Palmolive (India) Limited,COLPAL
52,Computer Age Management Services Limited,CAMS
53,Container Corporation of India Limited,CONCOR
54,Crompton Greaves Consumer Electricals Limited,CROMPTON
55,Cummins India Limited,CUMMINSIND
56,Cyient Limited,CYIENT
57,DLF Limited,DLF
58,Dabur India Limited,DABUR
59,Dalmia Bharat Limited,DALBHARAT
61,Delhivery Limited,DELHIVERY
62,Divi's Laboratories Limited,DIVISLAB
63,Dixon Technologies (India) Limited,DIXON
64,Dr. Reddy's Laboratories Limited,DRREDDY
65,Eicher Motors Limited,EICHERMOT
67,Exide Industries Limited,EXIDEIND
68,FSN E-Commerce Ventures Limited,NYKAA
69,GAIL (India) Limited,GAIL
70,GMR AIRPORTS LIMITED,GMRAIRPORT
71,Glenmark Pharmaceuticals Limited,GLENMARK
72,Godrej Consumer Products Limited,GODREJCP
73,Godrej Properties Limited,GODREJPROP
74,Granules India Limited,GRANULES
75,Grasim Industries Limited,GRASIM
76,HCL Technologies Limited,HCLTECH
77,HDFC Asset Management Company Limited,HDFCAMC
78,HDFC Bank Limited,HDFCBANK
79,HDFC Life Insurance Company Limited,HDFCLIFE
80,HFCL Limited,HFCL
81,Havells India Limited,HAVELLS
82,Hero MotoCorp Limited,HEROMOTOCO
83,Hindalco Industries Limited,HINDALCO
84,Hindustan Aeronautics Limited,HAL
85,Hindustan Copper Limited,HINDCOPPER
86,Hindustan Petroleum Corporation Limited,HINDPETRO
87,Hindustan Unilever Limited,HINDUNILVR
88,Housing & Urban Development Corporation Limited,HUDCO
89,ICICI Bank Limited,ICICIBANK
90,ICICI Lombard General Insurance Company Limited,ICICIGI
91,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
92,IDFC First Bank Limited,IDFCFIRSTB
93,IIFL Finance Limited,IIFL
94,IRB Infrastructure Developers Limited,IRB
95,ITC Limited,ITC
96,Indian Bank,INDIANB
97,Indian Energy Exchange Limited,IEX
98,Indian Oil Corporation Limited,IOC
99,Indian Railway Catering And Tourism Corporation Limited,IRCTC
100,Indian Railway Finance Corporation Limited,IRFC
101,Indian Renewable Energy Development Agency Limited,IREDA
102,Indraprastha Gas Limited,IGL
103,Indus Towers Limited,INDUSTOWER
104,IndusInd Bank Limited,INDUSINDBK
105,Info Edge (India) Limited,NAUKRI
106,Infosys Limited,INFY
107,InterGlobe Aviation Limited,INDIGO
109,JSW Energy Limited,JSWENERGY
110,JSW Steel Limited,JSWSTEEL
111,Jindal Stainless Limited,JSL
112,Jindal Steel & Power Limited,JINDALSTEL
113,Jio Financial Services Limited,JIOFIN
114,Jubilant Foodworks Limited,JUBLFOOD
115,KEI Industries Limited,KEI
116,KPIT Technologies Limited,KPITTECH
117,Kalyan Jewellers India Limited,KALYANKJIL
118,Kotak Mahindra Bank Limited,KOTAKBANK
119,L&T Finance Limited,LTF
121,LIC Housing Finance Limited,LICHSGFIN
122,LTIMindtree Limited,LTM
123,Larsen & Toubro Limited,LT
124,Laurus Labs Limited,LAURUSLABS
125,Life Insurance Corporation Of India,LICI
126,Lupin Limited,LUPIN
128,Macrotech Developers Limited,LODHA
129,Mahanagar Gas Limited,MGL
132,Manappuram Finance Limited,MANAPPURAM
133,Marico Limited,MARICO
134,Maruti Suzuki India Limited,MARUTI
135,Max Financial Services Limited,MFSL
136,Max Healthcare Institute Limited,MAXHEALTH
137,MphasiS Limited,MPHASIS
138,Multi Commodity Exchange of India Limited,MCX
139,Muthoot Finance Limited,MUTHOOTFIN
140,NBCC (India) Limited,NBCC
141,NCC Limited,NCC
142,NHPC Limited,NHPC
143,NMDC Limited,NMDC
144,NTPC Limited,NTPC
145,National Aluminium Company Limited,NATIONALUM
146,Nestle India Limited,NESTLEIND
147,Oberoi Realty Limited,OBEROIRLTY
148,Oil & Natural Gas Corporation Limited,ONGC
149,Oil India Limited,OIL
151,Oracle Financial Services Software Limited,OFSS
152,PB Fintech Limited,POLICYBZR
153,PI Industries Limited,PIIND
155,Patanjali Foods Limited,PATANJALI
157,Petronet LNG Limited,PETRONET
158,Pidilite Industries Limited,PIDILITIND
160,Polycab India Limited,POLYCAB
161,Poonawalla Fincorp Limited,POONAWALLA
162,Power Finance Corporation Limited,PFC
163,Power Grid Corporation of India Limited,POWERGRID
164,Prestige Estates Projects Limited,PRESTIGE
165,Punjab National Bank,PNB
166,RBL Bank Limited,RBLBANK
167,REC Limited,RECLTD
168,Reliance Industries Limited,RELIANCE
169,SBI Cards and Payment Services Limited,SBICARD
170,SBI Life Insurance Company Limited,SBILIFE
171,SHREE CEMENT LIMITED,SHREECEM
172,SJVN Limited,SJVN
173,SRF Limited,SRF
174,Samvardhana Motherson International Limited,MOTHERSON
175,Shriram Finance Limited,SHRIRAMFIN
176,Siemens Limited,SIEMENS
177,Solar Industries India Limited,SOLARINDS
178,Sona BLW Precision Forgings Limited,SONACOMS
179,State Bank of India,SBIN
180,Steel Authority of India Limited,SAIL
181,Sun Pharmaceutical Industries Limited,SUNPHARMA
182,Supreme Industries Limited,SUPREMEIND
183,Syngene International Limited,SYNGENE
184,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
185,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH
186,TVS Motor Company Limited,TVSMOTOR
187,Tata Chemicals Limited,TATACHEM
188,Tata Communications Limited,TATACOMM
189,Tata Consultancy Services Limited,TCS
190,Tata Elxsi Limited,TATAELXSI
191,Tata Motors Limited,TMCV
192,Tata Power Company Limited,TATAPOWER
193,Tata Steel Limited,TATASTEEL
194,Tata Technologies Limited,TATATECH
195,Tech Mahindra Limited,TECHM
196,The Federal Bank  Limited,FEDERALBNK
197,The Indian Hotels Company Limited,INDHOTEL
198,The Phoenix Mills Limited,PHOENIXLTD
200,Titan Company Limited,TITAN
201,Torrent Pharmaceuticals Limited,TORNTPHARM
202,Torrent Power Limited,TORNTPOWER
203,Trent Limited,TRENT
204,Tube Investments of India Limited,TIINDIA
205,UPL Limited,UPL
206,UltraTech Cement Limited,ULTRACEMCO
207,Union Bank of India,UNIONBANK
208,United Spirits Limited,UNITDSPR
209,Varun Beverages Limited,VBL
210,Vedanta Limited,VEDL
211,Vodafone Idea Limited,IDEA
212,Voltas Limited,VOLTAS
213,Wipro Limited,WIPRO
215,RailVikas Nigam Limited,RVNL
216,Zydus Lifesciences Limited,ZYDUSLIFE
217,POWERINDIA hITACHI Limited,POWERINDIA
218,PAGEIND,PAGEIND
219,Abc Capital,ABCAPITAL
220,Adani Power, ADANIPOWER
