Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,196,153,167,118,143,128,190,174,183,157,136,278,306
Expenses+,147,118,131,95,125,112,153,141,149,128,119,214,244
Operating Profit,49,35,36,24,18,17,37,33,34,28,17,64,62
OPM %,25%,23%,22%,20%,13%,13%,19%,19%,19%,18%,13%,23%,20%
Other Income+,5,4,1,0,0,1,1,3,0,1,4,-1,16
Interest,6,6,5,6,6,5,5,6,6,6,6,8,10
Depreciation,5,6,6,6,6,6,8,9,10,8,9,9,9
Profit before tax,43,27,26,13,7,6,25,21,19,15,6,46,60
Tax %,28%,25%,20%,19%,32%,29%,26%,26%,26%,27%,25%,25%,26%
Net Profit+,31,20,20,10,5,4,19,16,14,11,4,35,44
EPS in Rs,10.10,6.61,6.65,3.40,1.58,1.44,6.10,5.19,4.46,3.51,1.38,11.28,14.40
Raw PDF,,,,,,,,,,,,,
