Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,198,189,229,351,589,717,737,969,"1,465","2,313","3,248","4,731"
Interest,5,12,38,97,207,283,290,332,534,837,"1,274","1,730"
Expenses+,48,120,97,140,191,203,201,368,620,"1,023","1,242","1,645"
Financing Profit,145,58,94,114,191,230,246,270,311,452,732,"1,356"
Financing Margin %,73%,30%,41%,32%,32%,32%,33%,28%,21%,20%,23%,29%
Other Income+,8,2,6,1,3,2,0,12,1,1,3,11
Depreciation,4,3,4,6,7,11,11,10,44,88,102,110
Profit before tax,149,56,96,108,187,222,236,273,268,366,633,"1,257"
Tax %,36%,22%,39%,40%,27%,27%,25%,25%,24%,24%,24%,25%
Net Profit+,95,44,58,65,136,161,177,205,205,279,479,949
EPS in Rs,1.16,0.53,0.71,0.79,1.65,1.96,2.15,2.49,2.48,3.39,5.80,9.86
Dividend Payout %,6%,12%,9%,8%,5%,2%,4%,4%,5%,4%,3%,2%
