Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"7,956","7,541","8,297","7,448","7,846","7,326","9,056","11,584","15,758","21,639","31,027"
Expenses+,"7,738","7,063","7,764","7,106","7,192","6,686","8,346","10,627","14,640","20,325","28,903"
Operating Profit,218,479,533,342,654,640,710,957,"1,118","1,314","2,124"
OPM %,3%,6%,6%,5%,8%,9%,8%,8%,7%,6%,7%
Other Income+,143,51,22,58,98,53,42,9,101,144,194
Interest,295,314,253,245,331,331,282,258,269,280,289
Depreciation,59,78,82,91,186,174,181,183,206,246,296
Profit before tax,7,139,220,64,235,187,290,525,744,932,"1,732"
Tax %,-240%,18%,37%,30%,34%,26%,26%,26%,26%,26%,26%
Net Profit+,25,114,138,45,156,138,214,390,554,689,"1,285"
EPS in Rs,0.35,1.36,1.64,0.54,1.86,1.34,2.08,3.78,5.38,6.68,12.44
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,13%,22%,22%,20%
