Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,831","4,659","5,037","4,600","5,268","4,814","5,104","4,780","5,504","5,096","5,644","5,667","6,748"
Expenses+,"3,735","3,603","3,812","3,505","3,918","3,700","3,936","3,677","4,116","3,996","4,407","4,466","4,976"
Operating Profit,"1,095","1,056","1,225","1,095","1,350","1,114","1,168","1,103","1,388","1,100","1,237","1,201","1,772"
OPM %,23%,23%,24%,24%,26%,23%,23%,23%,25%,22%,22%,21%,26%
Other Income+,34,24,140,-77,37,39,298,4,9,4,2,170,-18
Interest,37,33,31,23,26,32,32,35,38,47,46,28,37
Depreciation,102,107,111,109,110,113,122,150,155,157,163,174,205
Profit before tax,990,939,"1,222",886,"1,251","1,009","1,312",922,"1,205",900,"1,029","1,168","1,513"
Tax %,26%,26%,26%,26%,25%,26%,25%,25%,26%,27%,27%,13%,26%
Net Profit+,737,698,908,656,934,747,986,696,885,659,753,"1,018","1,114"
EPS in Rs,3.82,3.62,4.71,3.40,4.84,3.87,5.12,3.61,4.59,3.42,3.91,5.28,5.78
Raw PDF,,,,,,,,,,,,,
