Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,482,573,550,630,791,849,865,780,821,911,"1,098","1,181","1,115"
Expenses+,210,220,237,255,505,272,324,336,360,346,401,456,452
Operating Profit,272,353,313,375,286,577,541,444,461,566,697,725,663
OPM %,56%,62%,57%,60%,36%,68%,63%,57%,56%,62%,63%,61%,59%
Other Income+,48,8,73,41,260,-1,28,154,101,69,9,39,54
Interest,108,125,146,167,207,214,232,222,218,229,254,296,312
Depreciation,12,13,14,14,17,16,17,17,20,32,39,41,43
Profit before tax,200,224,227,235,323,345,319,359,324,374,413,427,363
Tax %,22%,18%,18%,18%,25%,29%,23%,23%,23%,24%,24%,23%,20%
Net Profit+,155,184,186,192,243,244,245,276,250,285,315,327,289
EPS in Rs,4.37,5.15,5.20,5.36,6.76,6.72,6.73,7.12,6.35,7.04,7.79,8.08,7.11
Raw PDF,,,,,,,,,,,,,
