Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales+,"3,843","4,852","4,506","3,938","3,590","4,567","4,248","4,805","4,825","5,780","4,460","5,032","5,051"
Expenses+,"3,469","4,252","4,264","3,672","3,311","4,511","3,914","4,230","4,228","5,186","4,063","4,898","4,507"
Operating Profit,373,600,242,266,279,56,334,575,597,593,397,134,544
OPM %,10%,12%,5%,7%,8%,1%,8%,12%,12%,10%,9%,3%,11%
Other Income+,413,442,532,397,380,536,"1,072",439,436,695,"1,352","1,294",694
Interest,248,284,303,333,348,369,433,477,505,542,576,584,626
Depreciation,78,79,86,89,96,100,101,108,111,110,114,121,126
Profit before tax,460,679,386,240,216,122,873,429,417,635,"1,059",723,486
Tax %,17%,17%,24%,32%,24%,121%,27%,-14%,25%,34%,31%,32%,27%
Net Profit+,382,562,291,164,165,-25,641,489,312,416,725,493,353
EPS in Rs,9.34,8.91,5.29,2.59,3.16,-9.26,9.58,8.54,5.59,5.44,10.37,7.20,6.07
Raw PDF,,,,,,,,,,,,,
