Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,334","2,342","2,519","2,850","2,267","1,502","1,659","1,828","1,912","1,918","2,061","2,194","2,264"
Expenses+,"2,466","2,652","2,750","3,014","2,734","2,295","2,063","2,051","2,000","1,846","1,921","2,039","2,132"
Operating Profit,-131,-311,-231,-163,-467,-794,-404,-223,-88,72,140,155,132
OPM %,-6%,-13%,-9%,-6%,-21%,-53%,-24%,-12%,-5%,4%,7%,7%,6%
Other Income+,130,123,139,149,132,138,"1,524",189,-299,224,32,212,199
Interest,7,7,7,5,5,4,3,4,5,4,5,4,5
Depreciation,160,159,180,201,196,178,179,165,150,166,137,133,132
Profit before tax,-168,-354,-279,-221,-536,-839,938,-203,-542,126,30,230,194
Tax %,-0%,1%,5%,0%,3%,0%,1%,2%,1%,2%,30%,2%,6%
Net Profit+,-168,-358,-292,-222,-550,-840,930,-208,-545,123,21,225,183
EPS in Rs,-2.66,-5.63,-4.58,-3.46,-8.65,-13.19,14.58,-3.26,-8.47,1.93,0.33,3.52,2.87
Raw PDF,,,,,,,,,,,,,
