Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,259,260,362,426,539,602,813,768,847,958,"1,068","1,244","1,564"
Expenses+,132,146,173,280,388,319,358,533,362,332,388,512,523
Operating Profit,127,114,189,146,151,282,456,236,484,625,680,732,"1,041"
OPM %,49%,44%,52%,34%,28%,47%,56%,31%,57%,65%,64%,59%,67%
Other Income+,22,430,24,22,29,91,30,83,205,115,91,108,78
Interest,6,7,9,0,0,0,0,0,0,0,0,0,0
Depreciation,21,21,23,25,26,24,29,30,30,27,32,45,55
Profit before tax,122,516,182,143,154,349,457,288,660,713,739,795,"1,063"
Tax %,27%,15%,35%,26%,30%,24%,24%,24%,25%,25%,25%,25%,25%
Net Profit+,89,440,118,106,107,264,346,219,494,538,557,597,795
EPS in Rs,2.24,10.89,2.97,2.66,2.64,6.53,8.54,5.41,12.17,13.28,13.73,14.78,19.58
Raw PDF,,,,,,,,,,,,,
