Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,372,442,464,606,651,661,674,864,929,"1,054","1,334","1,412"
Expenses+,245,300,289,402,459,402,405,474,523,573,717,778
Operating Profit,127,142,175,204,192,260,269,390,405,481,617,634
OPM %,34%,32%,38%,34%,30%,39%,40%,45%,44%,46%,46%,45%
Other Income+,0,1,9,50,11,19,58,40,21,32,41,42
Interest,0,1,0,0,0,8,7,7,7,7,7,6
Depreciation,23,17,16,21,27,46,39,47,54,58,65,87
Profit before tax,104,125,168,233,176,225,280,376,366,448,586,584
Tax %,33%,35%,36%,31%,36%,27%,22%,23%,25%,25%,25%,25%
Net Profit+,70,81,108,160,112,164,219,289,275,337,441,437
EPS in Rs,2.86,3.34,4.41,6.56,4.60,6.73,8.97,11.84,11.21,13.72,17.85,17.63
Dividend Payout %,62%,65%,56%,68%,118%,36%,140%,65%,67%,68%,81%,43%
