Metric,Mar 2026
Sales+,"83,855"
Expenses+,"73,820"
Operating Profit,"10,035"
OPM %,12%
Other Income+,"-2,553"
Interest,874
Depreciation,"1,945"
Profit before tax,"4,663"
Tax %,35%
Net Profit+,"3,030"
EPS in Rs,8.23
Dividend Payout %,49%
