Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,029",951,"1,005","1,053","1,177","1,200","1,135","1,132","1,129","1,100","1,070","1,133","1,101"
Expenses+,904,816,847,880,"1,000","1,008",929,913,895,857,833,894,887
Operating Profit,125,135,157,172,177,192,206,218,234,244,238,239,214
OPM %,12%,14%,16%,16%,15%,16%,18%,19%,21%,22%,22%,21%,19%
Other Income+,11,10,10,10,12,13,13,12,13,28,38,48,62
Interest,13,13,16,21,14,13,11,12,9,14,13,15,16
Depreciation,12,12,12,12,12,12,12,12,12,13,16,16,17
Profit before tax,111,120,139,149,164,179,196,206,227,244,247,257,243
Tax %,31%,27%,28%,28%,30%,31%,31%,31%,30%,25%,24%,24%,24%
Net Profit+,77,88,101,108,115,123,134,142,158,183,187,195,186
EPS in Rs,1.77,2.00,2.29,2.45,2.33,2.50,2.72,2.88,3.20,3.70,3.78,3.86,3.68
Raw PDF,,,,,,,,,,,,,
