Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,965,"1,229","1,125","1,226",992,"1,278","1,246","1,313","1,098","1,317","1,291","1,387","1,253"
Expenses+,830,991,892,999,828,"1,034",965,"1,011",863,"1,022","1,011","1,069",992
Operating Profit,134,239,234,226,164,243,281,303,235,295,280,318,261
OPM %,14%,19%,21%,18%,17%,19%,23%,23%,21%,22%,22%,23%,21%
Other Income+,7,5,2,9,14,13,15,14,20,15,19,-23,17
Interest,14,13,11,10,10,12,11,12,12,13,13,13,12
Depreciation,21,21,25,23,23,22,23,30,25,27,25,27,28
Profit before tax,107,210,199,202,145,222,262,275,219,270,261,256,238
Tax %,26%,25%,25%,25%,25%,26%,26%,26%,25%,26%,25%,26%,25%
Net Profit+,78,158,150,152,108,165,195,205,164,201,195,190,179
EPS in Rs,70.24,141.98,134.73,136.59,97.01,148.13,175.06,183.49,147.04,180.03,174.61,169.93,160.24
Raw PDF,,,,,,,,,,,,,
