Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,961","1,768","1,778","2,009","2,126","2,167","2,032","1,903","2,180","1,890","1,902","1,975","2,120"
Expenses+,"1,613","1,559","1,476","1,705","1,825","1,858","1,734","1,735","1,863","1,700","1,698","1,764","1,744"
Operating Profit,348,210,302,305,301,309,298,169,317,190,204,211,376
OPM %,18%,12%,17%,15%,14%,14%,15%,9%,15%,10%,11%,11%,18%
Other Income+,13,32,17,14,99,19,21,21,23,25,20,-4,7
Interest,4,2,3,3,4,6,6,6,9,8,8,11,19
Depreciation,41,38,39,42,46,47,48,48,51,51,53,58,63
Profit before tax,315,202,277,274,349,275,264,135,279,155,163,138,301
Tax %,26%,26%,26%,26%,27%,26%,26%,27%,27%,27%,27%,28%,27%
Net Profit+,234,150,205,202,254,203,194,98,202,112,119,100,220
EPS in Rs,17.15,10.99,15.04,14.81,18.61,14.85,14.24,7.19,14.84,8.23,8.70,7.32,16.11
Raw PDF,,,,,,,,,,,,,
