Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"5,476","5,693","6,988","5,464","3,913","4,729","7,433","6,935","4,988","7,042","9,654","8,779","6,004"
Expenses+,"5,089","4,988","5,933","5,115","3,650","4,238","6,471","6,222","4,579","6,260","8,508","7,980","5,516"
Operating Profit,387,706,"1,055",349,263,490,962,713,409,782,"1,147",800,488
OPM %,7%,12%,15%,6%,7%,10%,13%,10%,8%,11%,12%,9%,8%
Other Income+,47,44,45,59,84,54,65,114,473,84,116,83,-6
Interest,52,41,46,38,62,57,66,73,66,68,102,84,89
Depreciation,45,48,54,64,63,65,69,71,85,121,102,147,165
Profit before tax,337,661,"1,000",306,222,422,892,683,731,677,"1,059",653,228
Tax %,27%,25%,25%,25%,26%,27%,26%,26%,21%,26%,25%,25%,50%
Net Profit+,246,494,755,228,164,309,659,508,578,502,793,488,115
EPS in Rs,8.38,16.80,25.71,7.85,5.45,10.56,22.55,17.37,19.67,17.13,27.31,17.15,4.74
Raw PDF,,,,,,,,,,,,,
