Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,496,738,"1,019","1,654","2,777","3,500","5,911","6,659","7,454","8,252","9,847"
Expenses+,797,"1,318","1,703","3,355","2,946","3,548","6,370","7,048","7,277","7,865","9,056"
Operating Profit,-301,-580,-683,"-1,701",-169,-48,-459,-389,178,387,792
OPM %,-61%,-79%,-67%,-103%,-6%,-1%,-8%,-6%,2%,5%,8%
Other Income+,27,14,58,31,188,134,167,320,401,370,329
Interest,3,13,12,19,49,89,94,86,88,125,136
Depreciation,40,53,47,92,254,353,478,657,659,519,668
Profit before tax,-317,-631,-684,"-1,781",-284,-356,-864,-812,-168,113,318
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-2%
Net Profit+,-317,-631,-684,"-1,781",-284,-356,-864,-812,-168,113,325
EPS in Rs,"-3,324.10","-6,618.19","-7,141.90","-18,583.47","-2,914.15","-2,136.22",-13.45,-11.15,-2.28,1.51,4.35
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
