Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,751","1,686","1,778","1,821","1,861","1,676","1,849","1,926","1,909","1,712","1,781","1,848","1,927"
Expenses+,"1,429","1,371","1,453","1,495","1,526","1,411","1,552","1,648","1,611","1,484","1,567","1,614","1,705"
Operating Profit,322,316,326,326,335,265,297,278,298,228,214,235,222
OPM %,18%,19%,18%,18%,18%,16%,16%,14%,16%,13%,12%,13%,12%
Other Income+,-16,-1,7,-32,23,21,51,-17,41,70,71,-11,-45
Interest,26,28,27,29,32,26,28,20,19,16,16,14,14
Depreciation,73,68,66,66,67,66,66,68,68,68,72,70,68
Profit before tax,208,219,240,200,259,195,254,174,252,214,197,139,95
Tax %,21%,23%,24%,23%,24%,24%,27%,26%,26%,26%,27%,30%,31%
Net Profit+,163,169,184,153,197,148,187,128,186,157,143,97,66
EPS in Rs,14.76,15.20,16.10,13.28,17.06,12.97,16.14,11.02,15.35,13.85,11.48,8.26,4.93
Raw PDF,,,,,,,,,,,,,
