Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales+,"1,618","1,711","1,795","3,941","4,562","4,361","3,762","5,561","6,867","7,226","8,076","9,395","9,792"
Expenses+,"1,375","1,405","1,495","3,257","3,821","3,726","3,225","4,588","5,571","5,899","6,608","7,604","7,937"
Operating Profit,243,306,299,683,740,635,537,973,"1,296","1,327","1,468","1,791","1,855"
OPM %,15%,18%,17%,17%,16%,15%,14%,17%,19%,18%,18%,19%,19%
Other Income+,40,56,66,55,48,63,60,72,92,120,122,154,167
Interest,2,3,2,11,8,4,6,5,5,5,4,4,4
Depreciation,49,66,64,138,148,159,194,197,206,219,269,329,336
Profit before tax,232,294,299,589,632,534,397,843,"1,177","1,224","1,317","1,612","1,682"
Tax %,34%,33%,35%,34%,34%,31%,27%,25%,25%,26%,26%,26%,
Net Profit+,153,197,195,388,420,368,291,629,879,909,978,"1,196","1,251"
EPS in Rs,18.40,23.76,23.47,46.75,26.86,23.52,18.62,40.25,56.25,58.16,62.55,76.53,80.00
Dividend Payout %,8%,8%,10%,7%,22%,30%,41%,8%,43%,45%,45%,46%,
