Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,328","3,537","1,596","2,936","3,409","3,574","3,457","4,004","4,426","6,066","7,565","8,480"
Expenses+,"2,861","3,020","1,425","2,518","2,856","3,050","2,736","3,081","3,429","4,659","5,637","6,904"
Operating Profit,468,517,171,418,552,525,722,923,997,"1,406","1,928","1,577"
OPM %,14%,15%,11%,14%,16%,15%,21%,23%,23%,23%,25%,19%
Other Income+,87,21,105,364,88,89,88,133,171,161,-99,180
Interest,40,33,18,48,34,31,31,57,43,96,93,48
Depreciation,57,71,74,75,76,84,89,153,182,240,267,301
Profit before tax,457,435,184,659,531,499,690,845,943,"1,231","1,469","1,408"
Tax %,26%,26%,23%,28%,24%,25%,27%,24%,18%,29%,25%,20%
Net Profit+,338,320,141,475,401,376,507,644,773,878,"1,107","1,126"
EPS in Rs,17.05,15.98,6.32,23.41,19.99,13.73,17.15,21.54,25.94,29.29,36.94,36.89
Raw PDF,,,,,,,,,,,,
