Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,573","1,210","1,110","1,634","2,285","2,782","3,066","4,179"
Expenses+,"1,481","1,175","1,055","1,499","2,123","2,559","2,828","3,677"
Operating Profit,92,35,55,134,161,223,238,502
OPM %,6%,3%,5%,8%,7%,8%,8%,12%
Other Income+,5,6,10,10,8,18,11,14
Interest,30,36,26,20,23,31,42,28
Depreciation,4,4,6,8,9,16,25,33
Profit before tax,64,1,33,117,137,194,182,455
Tax %,37%,125%,30%,28%,26%,25%,26%,25%
Net Profit+,40,-0,23,84,102,145,135,341
EPS in Rs,161.76,-1.44,92.64,334.56,498.20,705.37,12.32,28.92
Dividend Payout %,-0%,-0%,4%,1%,-0%,-0%,-0%,6%
