Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"11,982","12,869","13,717","14,495","15,156","15,837","16,427","16,633","16,772","17,248","17,199","17,507","17,827"
Interest,"4,230","4,834","5,536","5,985","6,212","6,805","7,139","7,170","7,157","7,527","7,333","7,384","7,376"
Expenses+,"10,548","10,303","10,136","12,484","14,920","12,263","13,094","10,596","13,666","13,123","11,606","13,933","13,656"
Financing Profit,"-2,796","-2,269","-1,955","-3,975","-5,976","-3,231","-3,806","-1,133","-4,051","-3,402","-1,740","-3,811","-3,205"
Financing Margin %,-23%,-18%,-14%,-27%,-39%,-20%,-23%,-7%,-24%,-20%,-10%,-22%,-18%
Other Income+,"8,785","7,855","7,843","9,588","12,751","13,042","10,453","7,313","10,402","9,456","7,703","10,344","10,648"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"5,989","5,586","5,888","5,614","6,775","9,811","6,647","6,180","6,351","6,053","5,963","6,533","7,443"
Tax %,24%,26%,25%,25%,23%,25%,25%,25%,23%,27%,25%,25%,27%
Net Profit+,"4,566","4,150","4,461","4,265","5,337","7,448","5,044","4,701","4,933","4,472","4,468","4,924","5,423"
EPS in Rs,4.60,4.18,4.49,4.29,5.37,7.49,5.07,4.73,4.96,4.50,4.49,4.95,5.45
Gross NPA %,1.76%,1.75%,1.69%,1.68%,1.38%,1.39%,1.48%,1.51%,1.45%,,,,
Net NPA %,0.41%,0.43%,0.39%,0.36%,0.36%,0.38%,0.45%,0.44%,0.36%,,,,
Raw PDF,,,,,,,,,,,,,
