Metric,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024
Revenue+,289,272,325,343,365,353,395,411,450,467,497,508,546
Interest,115,113,116,125,124,135,141,150,165,187,204,217,222
Expenses+,76,80,86,97,89,98,110,117,118,132,129,134,139
Financing Profit,98,79,123,120,153,121,144,144,167,148,164,157,186
Financing Margin %,34%,29%,38%,35%,42%,34%,37%,35%,37%,32%,33%,31%,34%
Other Income+,2,0,1,0,0,0,0,1,1,0,1,1,1
Depreciation,5,5,6,6,7,6,7,7,9,7,8,9,9
Profit before tax,95,74,118,115,146,114,138,138,159,141,157,150,177
Tax %,8%,20%,22%,23%,21%,22%,22%,22%,20%,22%,23%,22%,20%
Net Profit+,87,59,92,89,115,89,107,107,127,110,122,117,142
EPS in Rs,11.14,7.52,11.65,11.25,14.63,11.28,13.49,13.55,16.04,13.89,15.38,14.75,18.00
Gross NPA %,,,,,,,,,,1.00%,,,0.94%
Net NPA %,,,,,,,,,,0.73%,,,0.67%
Raw PDF,,,,,,,,,,,,,
