Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,114,128,141,163,160,209,257,278,269,349,352,624,829
Expenses+,110,114,160,209,83,107,119,123,142,154,153,225,300
Operating Profit,5,13,-19,-46,77,101,137,155,127,195,199,399,529
OPM %,4%,11%,-14%,-28%,48%,49%,53%,56%,47%,56%,57%,64%,64%
Other Income+,22,20,20,20,18,19,24,23,29,32,27,32,37
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,6,4,6,11,13,13,14,14,21,17,18,21,19
Profit before tax,21,30,-5,-36,82,108,148,164,135,210,208,409,547
Tax %,41%,19%,32%,-25%,25%,25%,25%,25%,24%,25%,25%,25%,25%
Net Profit+,12,24,-7,-27,62,80,111,122,102,157,156,307,409
EPS in Rs,0.48,0.94,-0.27,-1.06,2.43,3.15,4.33,4.79,3.99,6.15,6.13,12.04,16.03
Raw PDF,,,,,,,,,,,,,
