Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,343","1,479","1,494","1,437","1,439","1,558","1,633","1,614","1,605","1,738","1,757","1,724","1,710"
Expenses+,"1,063","1,124","1,113","1,049","1,109","1,167","1,194","1,178","1,176","1,293","1,255","1,261","1,229"
Operating Profit,280,355,381,388,330,391,439,436,429,446,502,463,481
OPM %,21%,24%,25%,27%,23%,25%,27%,27%,27%,26%,29%,27%,28%
Other Income+,50,56,56,56,81,67,60,72,76,73,70,70,76
Interest,4,3,3,3,3,3,2,2,4,6,8,5,6
Depreciation,17,17,18,18,18,18,18,18,18,19,19,19,19
Profit before tax,308,390,415,422,390,437,479,488,483,493,546,509,531
Tax %,25%,26%,25%,26%,26%,25%,25%,26%,24%,26%,24%,26%,26%
Net Profit+,231,290,313,311,287,328,359,361,367,366,415,376,395
EPS in Rs,108.91,136.59,147.27,146.35,135.09,154.36,168.76,169.78,172.73,172.18,195.43,176.93,185.86
Raw PDF,,,,,,,,,,,,,
