Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"6,939","7,507","9,047","9,267","11,134","13,421","15,771","20,299","23,892","26,650","27,153","27,285"
Interest,"4,992","5,519","6,888","6,638","8,183","10,163","11,237","14,075","17,447","20,101","20,495","20,005"
Expenses+,34,38,26,38,48,66,113,123,134,133,154,318
Financing Profit,"1,914","1,950","2,133","2,592","2,902","3,192","4,420","6,102","6,310","6,415","6,504","6,962"
Financing Margin %,28%,26%,24%,28%,26%,24%,28%,30%,26%,24%,24%,26%
Other Income+,1,1,0,1,-0,0,0,2,41,6,3,53
Depreciation,0,0,0,0,0,0,4,14,14,9,5,6
Profit before tax,"1,914","1,950","2,133","2,592","2,902","3,192","4,416","6,090","6,337","6,412","6,502","7,009"
Tax %,60%,56%,56%,21%,22%,0%,0%,0%,0%,0%,0%,0%
Net Profit+,758,849,934,"2,055","2,255","3,192","4,416","6,090","6,337","6,412","6,502","7,009"
EPS in Rs,211.58,187.50,143.08,3.15,2.40,2.69,3.38,4.66,4.85,4.91,4.98,5.36
Dividend Payout %,20%,40%,40%,18%,18%,0%,31%,30%,31%,31%,32%,20%
