Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"3,275","3,472","3,606","3,820","4,164","4,474","4,929","5,190","5,622","6,450","7,283","8,188","9,289"
Interest,"1,091","1,236","1,335","1,412","1,447","1,595","1,807","1,900","2,111","2,355","2,571","2,919","3,155"
Expenses+,829,847,805,872,"1,121","1,226","1,324","1,405","1,549","1,441","1,480","1,426","1,528"
Financing Profit,"1,355","1,389","1,467","1,536","1,596","1,653","1,798","1,885","1,961","2,654","3,232","3,843","4,606"
Financing Margin %,41%,40%,41%,40%,38%,37%,36%,36%,35%,41%,44%,47%,50%
Other Income+,23,37,26,23,16,19,29,32,6,35,50,20,3
Depreciation,23,19,22,24,27,26,25,31,35,35,38,40,24
Profit before tax,"1,355","1,407","1,470","1,534","1,585","1,646","1,802","1,886","1,932","2,654","3,244","3,822","4,584"
Tax %,26%,26%,26%,25%,25%,27%,27%,26%,25%,26%,26%,26%,26%
Net Profit+,"1,009","1,045","1,095","1,145","1,182","1,196","1,321","1,392","1,444","1,974","2,412","2,823","3,397"
EPS in Rs,24.25,25.46,26.39,27.49,28.37,28.99,31.67,34.60,36.81,50.22,60.29,69.84,83.43
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
