Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,377","1,150","1,322","1,971","2,377","1,804","1,679","2,791","4,172","4,185","4,596","4,405"
Expenses+,"1,261","1,009","1,095","1,521","1,838","1,520","1,552","2,637","3,783","3,543","3,745","3,471"
Operating Profit,116,142,227,450,538,284,128,154,388,642,851,934
OPM %,8%,12%,17%,23%,23%,16%,8%,6%,9%,15%,19%,21%
Other Income+,15,11,8,8,14,-123,14,7,-2,43,51,176
Interest,102,110,80,70,71,55,33,35,66,64,45,58
Depreciation,55,64,31,31,33,37,44,47,49,48,50,61
Profit before tax,-26,-21,123,356,449,70,64,79,272,573,808,991
Tax %,-45%,-22%,34%,32%,31%,-16%,27%,18%,24%,28%,31%,24%
Net Profit+,-14,-16,81,243,311,81,47,65,208,411,558,750
EPS in Rs,-0.37,-0.39,1.94,5.80,7.44,1.93,1.11,1.55,4.80,8.34,11.30,14.86
Dividend Payout %,0%,-13%,5%,2%,2%,8%,13%,13%,5%,6%,5%,5%
