Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"8,509","7,282","6,791","7,310","7,549","8,130","8,252","8,614","9,087","7,771","8,549","10,980","13,544"
Expenses+,"4,254","3,935","3,652","3,789","3,900","4,184","4,129","4,115","4,267","3,912","4,104","4,926","5,838"
Operating Profit,"4,255","3,347","3,139","3,521","3,649","3,946","4,123","4,499","4,820","3,859","4,445","6,054","7,706"
OPM %,50%,46%,46%,48%,48%,49%,50%,52%,53%,50%,52%,55%,57%
Other Income+,354,282,223,296,273,268,187,218,227,279,238,318,280
Interest,176,218,232,243,262,256,303,285,251,240,259,195,187
Depreciation,928,801,825,905,937,844,877,905,"1,014",913,882,947,"1,048"
Profit before tax,"3,505","2,610","2,305","2,669","2,723","3,114","3,130","3,527","3,782","2,985","3,542","5,230","6,751"
Tax %,26%,25%,25%,24%,25%,25%,26%,24%,21%,25%,25%,25%,25%
Net Profit+,"2,583","1,964","1,729","2,028","2,038","2,345","2,327","2,678","3,003","2,234","2,649","3,916","5,033"
EPS in Rs,6.11,4.65,4.09,4.80,4.82,5.55,5.51,6.34,7.11,5.29,6.27,9.27,11.91
Raw PDF,,,,,,,,,,,,,
