Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,250,220,274,243,264,274,306,350,348,372,452,443,589
Expenses+,206,182,227,203,222,225,251,289,283,303,370,362,491
Operating Profit,43,39,47,40,42,48,56,61,65,69,83,80,98
OPM %,17%,18%,17%,16%,16%,18%,18%,17%,19%,19%,18%,18%,17%
Other Income+,8,4,3,5,5,3,6,4,11,4,5,4,8
Interest,0,0,0,0,0,1,1,0,0,0,1,1,0
Depreciation,5,5,5,5,5,5,5,5,5,5,5,6,7
Profit before tax,46,37,45,40,41,46,56,60,70,67,82,78,99
Tax %,23%,28%,27%,25%,29%,23%,26%,25%,25%,26%,26%,28%,27%
Net Profit+,35,27,33,30,29,35,41,45,53,50,60,56,72
EPS in Rs,2.27,1.71,2.10,1.91,1.86,2.26,2.64,2.88,3.39,3.21,3.85,3.61,4.62
Raw PDF,,,,,,,,,,,,,
