Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,813","1,918","2,059","2,424","3,996","2,143","2,446","2,809","4,644","2,391","2,914","3,022","4,560"
Expenses+,"2,709","1,861","1,963","2,306","3,753","2,051","2,346","2,665","4,353","2,281","2,809","2,909","4,273"
Operating Profit,104,57,96,117,243,92,100,144,291,110,104,114,287
OPM %,4%,3%,5%,5%,6%,4%,4%,5%,6%,5%,4%,4%,6%
Other Income+,48,48,11,36,-44,54,67,54,-39,74,103,152,59
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,2,1,1,1,1,1,1,2,3,3,3,3,4
Profit before tax,151,104,105,152,198,144,166,196,249,181,205,263,342
Tax %,25%,25%,22%,25%,28%,25%,25%,27%,27%,26%,23%,25%,26%
Net Profit+,114,77,82,114,141,107,125,142,183,135,157,197,254
EPS in Rs,0.40,0.28,0.29,0.41,0.50,0.39,0.45,0.51,0.65,0.49,0.57,0.71,0.89
Raw PDF,,,,,,,,,,,,,
