Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"2,105","2,316","2,406","2,491","2,481","2,652","2,739","2,931","3,159","2,911","2,999","3,042","3,030"
Interest,"1,421","1,578","1,731","1,752","1,792","1,802","1,866","1,992","2,037","2,010","2,049","2,056","2,055"
Expenses+,638,682,648,920,875,831,924,902,"1,356","1,046",967,"1,037",787
Financing Profit,46,56,27,-181,-186,19,-52,36,-234,-146,-17,-51,188
Financing Margin %,2%,2%,1%,-7%,-8%,1%,-2%,1%,-7%,-5%,-1%,-2%,6%
Other Income+,547,179,268,362,413,194,359,338,677,469,374,507,427
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,593,234,295,181,227,213,307,375,442,323,357,456,615
Tax %,23%,35%,36%,37%,39%,15%,22%,25%,29%,17%,18%,26%,31%
Net Profit+,457,153,189,114,139,182,240,282,313,269,295,336,422
EPS in Rs,0.67,0.23,0.28,0.17,0.21,0.27,0.35,0.42,0.44,0.38,0.42,0.47,0.59
Gross NPA %,6.97%,6.80%,6.23%,5.70%,5.43%,4.72%,4.21%,3.83%,3.38%,3.34%,2.92%,2.60%,2.40%
Net NPA %,1.84%,1.95%,1.88%,1.80%,1.63%,1.59%,1.46%,1.25%,0.96%,0.91%,0.83%,0.74%,0.79%
Raw PDF,,,,,,,,,,,,,
