Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,626,633,"1,103","1,231","1,057","1,418","1,841","2,089"
Expenses+,454,451,695,666,626,912,"1,151","1,238"
Operating Profit,172,182,408,566,431,505,690,851
OPM %,27%,29%,37%,46%,41%,36%,37%,41%
Other Income+,21,21,37,49,139,70,109,158
Interest,18,20,17,10,9,9,9,7
Depreciation,61,62,62,58,64,81,78,100
Profit before tax,114,121,366,547,498,485,711,903
Tax %,32%,23%,26%,26%,23%,23%,29%,26%
Net Profit+,77,93,271,406,386,375,506,671
EPS in Rs,91.97,110.62,319.77,462.60,6.76,6.70,9.05,11.94
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,17%
