Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025,TTM
Sales+,"7,730","8,136","8,642","6,094","6,690","7,315","5,821","6,934","8,568","10,447","12,188","13,203","13,093"
Expenses+,"7,154","7,402","7,932","5,669","6,224","6,777","5,553","6,368","7,600","8,950","9,877","11,158","11,243"
Operating Profit,576,734,710,425,466,538,268,566,968,"1,497","2,311","2,045","1,850"
OPM %,7%,9%,8%,7%,7%,7%,5%,8%,11%,14%,19%,15%,14%
Other Income+,14,6,122,267,339,26,170,266,506,289,344,349,"1,814"
Interest,122,106,108,62,60,28,25,19,15,13,16,20,19
Depreciation,113,160,151,101,93,90,120,103,105,120,129,146,154
Profit before tax,355,475,573,528,652,445,293,711,"1,353","1,653","2,510","2,229","3,491"
Tax %,36%,37%,35%,21%,22%,32%,25%,27%,25%,25%,25%,25%,
Net Profit+,229,300,374,420,511,303,219,520,"1,016","1,242","1,872","1,668","2,977"
EPS in Rs,10.78,14.15,17.67,19.82,24.11,14.32,10.35,24.53,47.96,58.61,88.33,78.73,140.50
Dividend Payout %,34%,26%,23%,22%,20%,34%,48%,21%,11%,50%,50%,50%,
