Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,410,500,411,367,375,356,456,461
Expenses+,308,340,253,232,229,221,275,274
Operating Profit,102,160,158,135,146,135,181,186
OPM %,25%,32%,38%,37%,39%,38%,40%,40%
Other Income+,31,20,28,43,29,35,44,53
Interest,17,5,14,10,9,8,10,37
Depreciation,29,31,33,33,34,38,39,40
Profit before tax,86,145,139,134,132,124,177,162
Tax %,31%,24%,26%,21%,28%,21%,23%,24%
Net Profit+,60,110,103,107,95,98,137,123
EPS in Rs,143.10,276.67,7.42,7.81,6.97,7.27,10.08,9.17
Raw PDF,,,,,,,,
