Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,560,371,381,399,565,494,518,328,731,516,718,687,"1,156"
Expenses+,374,278,260,293,339,305,366,220,465,304,436,347,528
Operating Profit,186,93,121,107,226,188,152,108,267,212,282,340,628
OPM %,33%,25%,32%,27%,40%,38%,29%,33%,36%,41%,39%,50%,54%
Other Income+,52,14,11,10,20,7,32,16,46,10,11,-78,33
Interest,3,4,4,4,4,3,1,1,2,2,0,2,1
Depreciation,61,41,46,30,59,38,48,38,52,41,44,48,67
Profit before tax,174,62,83,82,184,154,135,84,259,179,249,213,592
Tax %,24%,24%,27%,23%,32%,26%,25%,26%,27%,25%,25%,26%,25%
Net Profit+,132,47,61,63,124,113,102,63,187,134,184,156,444
EPS in Rs,1.37,0.49,0.63,0.65,1.29,1.17,1.05,0.65,1.94,1.39,1.90,1.62,4.59
Raw PDF,,,,,,,,,,,,,
