Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"1,036","1,143","1,177","1,253","1,391","1,510","1,630","1,698","1,904","1,947","2,057","2,130","2,175"
Interest,638,764,793,760,847,975,"1,030","1,032","1,104","1,218","1,213","1,233","1,241"
Expenses+,104,-66,-3,99,56,51,131,119,170,427,138,179,308
Financing Profit,294,445,387,394,488,484,469,548,630,302,706,718,626
Financing Margin %,28%,39%,33%,31%,35%,32%,29%,32%,33%,16%,34%,34%,29%
Other Income+,0,0,0,0,0,0,1,1,11,12,1,10,6
Depreciation,6,6,7,8,9,9,9,10,11,10,10,11,13
Profit before tax,288,440,380,386,480,476,460,538,630,305,696,717,619
Tax %,12%,33%,25%,13%,30%,19%,16%,21%,20%,19%,21%,18%,20%
Net Profit+,254,295,285,336,337,384,388,425,502,247,549,585,493
EPS in Rs,1.11,1.29,1.25,1.25,1.26,1.43,1.44,1.58,1.87,0.88,1.95,2.08,1.75
Gross NPA %,3.21%,3.08%,3.13%,2.90%,,2.19%,2.19%,2.68%,2.45%,4.13%,3.97%,3.75%,3.49%
Net NPA %,1.66%,1.61%,1.65%,1.52%,,0.95%,1.04%,1.50%,1.35%,2.06%,1.97%,1.68%,1.29%
Raw PDF,,,,,,,,,,,,,
