Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,220,265,309,379,102,264,476,539,576,584
Expenses+,195,230,294,325,104,232,390,450,511,539
Operating Profit,25,35,15,54,-2,32,86,89,65,45
OPM %,11%,13%,5%,14%,-2%,12%,18%,16%,11%,8%
Other Income+,12,15,7,13,27,29,11,6,41,59
Interest,0,1,1,3,2,4,11,13,12,9
Depreciation,1,1,1,12,11,14,16,19,17,20
Profit before tax,36,48,20,53,14,42,70,63,78,76
Tax %,35%,36%,36%,27%,31%,26%,26%,25%,27%,25%
Net Profit+,24,31,13,39,9,31,52,47,57,56
EPS in Rs,124.20,162.77,69.07,204.77,49.07,3.01,4.96,4.53,5.23,5.20
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
