Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,370,405,444,709,116,398,748,576,645,934,712,208
Expenses+,210,242,286,437,170,16,64,85,74,132,154,206
Operating Profit,160,163,159,272,-54,382,683,491,571,803,558,2
OPM %,43%,40%,36%,38%,-47%,96%,91%,85%,88%,86%,78%,1%
Other Income+,0,0,0,10,220,-100,19,19,19,34,-57,585
Interest,12,17,18,61,14,48,25,44,60,86,110,122
Depreciation,1,3,8,13,13,11,12,13,14,15,18,42
Profit before tax,148,143,133,208,138,223,666,452,516,736,374,424
Tax %,33%,28%,35%,24%,-10%,13%,4%,10%,4%,8%,10%,7%
Net Profit+,99,103,86,158,152,193,640,407,496,679,335,395
EPS in Rs,,,,,,5.55,18.21,11.48,13.92,18.92,8.51,9.73
Dividend Payout %,26%,34%,51%,45%,56%,90%,96%,120%,496%,87%,70%,123%
