Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,258,134,190,231,354,155,230,259,408,200,215,260,488
Expenses+,226,131,148,165,273,131,180,182,289,159,167,178,327
Operating Profit,33,3,42,66,81,24,49,76,118,41,48,83,161
OPM %,13%,2%,22%,29%,23%,15%,21%,29%,29%,20%,22%,32%,33%
Other Income+,1,2,9,6,6,4,3,10,11,4,8,8,7
Interest,10,7,6,8,9,10,13,15,19,15,13,13,14
Depreciation,6,6,6,7,6,8,6,10,11,9,10,11,13
Profit before tax,18,-8,38,57,71,9,34,62,99,21,32,66,141
Tax %,25%,-18%,22%,25%,24%,23%,25%,23%,26%,23%,26%,29%,25%
Net Profit+,14,-7,30,43,54,7,25,47,73,16,24,47,106
EPS in Rs,1.56,-0.71,3.16,4.57,5.73,0.76,2.67,5.00,7.74,1.71,2.52,4.93,11.16
Raw PDF,,,,,,,,,,,,,
