Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,222","1,233","1,305","1,204","1,246","1,306","1,367","1,335","1,475","1,507","1,644","2,151","2,594"
Expenses+,946,963,997,925,955,"1,004","1,058","1,027","1,118","1,171","1,243","1,786","2,086"
Operating Profit,276,271,308,279,291,302,309,307,358,337,401,365,508
OPM %,23%,22%,24%,23%,23%,23%,23%,23%,24%,22%,24%,17%,20%
Other Income+,15,15,18,18,26,24,23,18,20,24,24,-29,25
Interest,21,21,23,25,28,34,35,37,41,45,42,65,91
Depreciation,56,59,55,63,65,61,65,70,82,84,87,122,154
Profit before tax,214,206,248,209,225,231,232,219,254,232,296,149,288
Tax %,19%,11%,9%,10%,15%,13%,14%,12%,22%,15%,13%,15%,22%
Net Profit+,173,184,227,188,191,202,199,193,197,197,258,127,224
EPS in Rs,8.47,9.00,11.09,9.20,9.33,9.85,9.72,9.44,9.65,9.62,12.64,6.20,10.96
Raw PDF,,,,,,,,,,,,,
