Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"13,319","20,402","22,324","25,131","29,831","33,474","32,820","33,741","42,151","56,237","65,669","69,781"
Interest,"6,966","11,123","11,458","12,467","15,187","15,901","12,967","11,554","14,411","22,567","28,275","29,620"
Expenses+,"9,718","11,541","14,832","16,805","19,758","22,578","29,812","30,699","33,485","47,052","48,891","52,319"
Financing Profit,"-3,366","-2,263","-3,965","-4,141","-5,114","-5,005","-9,958","-8,512","-5,746","-13,382","-11,496","-12,158"
Financing Margin %,-25%,-11%,-18%,-16%,-17%,-15%,-30%,-25%,-14%,-24%,-18%,-17%
Other Income+,"8,152","7,631","11,660","13,682","16,148","16,892","23,588","24,941","25,991","38,037","41,426","38,150"
Depreciation,237,345,362,383,458,465,461,480,599,792,941,0
Profit before tax,"4,550","5,024","7,332","9,158","10,576","11,422","13,168","15,948","19,646","23,863","28,989","25,993"
Tax %,33%,32%,32%,33%,33%,25%,25%,25%,25%,25%,24%,26%
Net Profit+,"3,105","3,524","5,019","6,258","7,204","8,593","9,990","12,089","14,925","18,213","22,126","19,288"
EPS in Rs,3.94,3.77,5.37,6.51,7.55,8.98,10.08,12.18,15.03,18.32,22.26,19.39
Dividend Payout %,2%,3%,2%,2%,2%,0%,2%,2%,2%,2%,2%,3%
