Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,643","1,657","1,770","1,680","1,786","1,859","1,988","1,928","2,007","2,167","2,331","2,265","2,365"
Expenses+,"1,372","1,386","1,440","1,396","1,405","1,516","1,554","1,553","1,572","1,676","1,775","1,759","1,832"
Operating Profit,271,272,330,284,381,343,435,375,435,491,556,506,532
OPM %,16%,16%,19%,17%,21%,18%,22%,19%,22%,23%,24%,22%,23%
Other Income+,26,10,18,19,17,14,-42,47,-29,31,50,-34,-2
Interest,32,31,32,33,35,35,36,45,68,70,75,86,84
Depreciation,82,79,84,87,92,91,95,97,102,101,106,120,122
Profit before tax,183,171,233,183,271,230,261,279,237,351,425,266,324
Tax %,25%,27%,21%,27%,25%,24%,26%,9%,21%,24%,23%,26%,16%
Net Profit+,138,124,184,134,203,174,193,254,188,267,329,197,271
EPS in Rs,1.76,1.48,2.30,1.78,2.37,2.20,2.34,3.28,2.44,3.45,4.26,2.57,3.52
Raw PDF,,,,,,,,,,,,,
