Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"8,523","9,584","10,607","10,014","10,025","10,383","11,554","11,359","11,800","12,742","14,549","15,276","15,588"
Expenses+,"7,376","8,232","9,124","8,474","8,508","8,907","9,878","9,544","9,908","10,741","12,288","12,815","13,189"
Operating Profit,"1,147","1,351","1,483","1,540","1,517","1,476","1,677","1,815","1,893","2,002","2,261","2,461","2,399"
OPM %,13%,14%,14%,15%,15%,14%,15%,16%,16%,16%,16%,16%,15%
Other Income+,36,1,11,7,19,15,8,22,18,11,13,-35,30
Interest,418,477,517,516,532,517,522,551,635,663,651,651,653
Depreciation,275,265,252,244,264,242,261,260,309,332,341,361,372
Profit before tax,490,611,726,787,740,732,901,"1,026",967,"1,019","1,282","1,414","1,404"
Tax %,34%,33%,37%,32%,37%,34%,34%,33%,33%,34%,31%,31%,38%
Net Profit+,324,409,457,532,464,481,599,685,644,675,880,969,865
EPS in Rs,76.02,97.25,112.83,111.03,114.97,107.37,137.76,191.11,140.09,166.11,219.24,244.14,209.96
Raw PDF,,,,,,,,,,,,,
