Metric,Mar 2014,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"14,780","22,973","26,354","28,802","29,657","37,090","52,302","55,262","49,243","61,677","72,308"
Expenses+,"14,552","22,330","25,433","27,703","28,345","35,763","50,577","54,346","48,102","59,254","70,324"
Operating Profit,228,643,921,"1,100","1,312","1,328","1,726",917,"1,141","2,423","1,984"
OPM %,2%,3%,4%,4%,4%,4%,3%,2%,2%,4%,3%
Other Income+,198,152,88,122,108,104,169,956,236,233,393
Interest,347,328,298,470,569,407,525,729,674,661,658
Depreciation,72,119,146,182,242,268,285,319,322,355,398
Profit before tax,8,348,566,570,609,757,"1,084",825,381,"1,640","1,321"
Tax %,45%,34%,34%,36%,35%,14%,25%,26%,27%,26%,26%
Net Profit+,4,230,375,365,395,655,808,607,278,"1,216",982
EPS in Rs,0.39,20.09,32.79,31.95,34.52,57.27,6.22,4.67,2.14,9.35,7.55
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%
