Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"24,630","26,246","27,418","28,865","30,231","31,159","31,601","32,162","32,452","32,348","32,310","33,709","34,171"
Interest,"12,580","13,972","14,749","15,943","16,727","17,261","17,615","18,040","18,121","18,239","17,971","18,785","19,080"
Expenses+,"8,101","9,731","10,059","10,506","11,124","11,892","12,412","11,913","11,943","13,983","14,302","12,743","14,816"
Financing Profit,"3,948","2,543","2,609","2,416","2,379","2,006","1,575","2,210","2,389",127,36,"2,181",275
Financing Margin %,16%,10%,10%,8%,8%,6%,5%,7%,7%,0%,0%,6%,1%
Other Income+,"-7,101","5,648","5,705","6,272","7,606","6,637","7,603","6,797","7,506","8,053","7,460","7,189","6,972"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"-3,153","8,192","8,314","8,688","9,985","8,643","9,177","9,007","9,895","8,180","7,496","9,371","7,247"
Tax %,70%,26%,25%,25%,24%,25%,19%,25%,24%,23%,26%,25%,-5%
Net Profit+,"-5,334","6,113","6,230","6,520","7,630","6,467","7,436","6,779","7,509","6,279","5,567","7,060","7,642"
EPS in Rs,-17.43,19.78,20.13,21.05,24.62,20.83,23.93,21.78,24.13,20.13,17.82,22.58,24.46
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
