Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,053","2,579","2,708","2,607","2,422","2,868","3,061","3,199","3,079","3,570","3,697","3,567","3,443"
Expenses+,"1,636","1,924","2,025","2,000","1,836","2,196","2,214","2,383","2,396","2,724","2,776","2,648","2,513"
Operating Profit,417,655,683,606,586,672,847,816,683,847,921,919,930
OPM %,20%,25%,25%,23%,24%,23%,28%,26%,22%,24%,25%,26%,27%
Other Income+,50,63,63,75,94,108,109,87,249,83,94,-31,94
Interest,5,6,9,9,9,11,7,221,191,171,170,157,142
Depreciation,85,87,96,110,100,103,100,187,231,219,222,223,223
Profit before tax,377,624,641,562,572,666,849,495,511,540,624,509,659
Tax %,22%,21%,20%,18%,17%,18%,22%,22%,17%,18%,17%,19%,15%
Net Profit+,294,494,511,460,477,543,659,385,425,445,520,414,559
EPS in Rs,7.13,12.15,12.51,11.33,11.76,13.39,16.31,9.22,10.20,10.62,12.39,9.90,13.43
Raw PDF,,,,,,,,,,,,,
