Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,107,104,109,115,121,124,139,132,142,142,154,146,174
Expenses+,14,22,17,17,17,24,20,19,21,26,20,24,25
Operating Profit,93,82,92,99,105,99,120,113,121,115,133,122,149
OPM %,87%,78%,85%,86%,86%,80%,86%,86%,85%,81%,87%,84%,86%
Other Income+,28,25,28,29,30,34,31,32,37,49,34,42,27
Interest,1,1,1,1,1,1,1,1,1,1,1,1,1
Depreciation,5,5,5,5,5,5,5,5,5,5,6,6,6
Profit before tax,116,101,114,122,129,128,145,139,152,158,161,157,169
Tax %,24%,25%,24%,25%,25%,25%,25%,23%,23%,24%,23%,24%,23%
Net Profit+,88,76,86,92,97,96,108,107,117,121,123,119,130
EPS in Rs,0.99,0.85,0.97,1.03,1.08,1.08,1.21,1.20,1.31,1.35,1.38,1.34,1.46
Raw PDF,,,,,,,,,,,,,
