Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,131","3,293","3,461","3,578","3,688","3,816","4,058","4,146","4,081","4,233","4,378","4,566","4,648"
Expenses+,"2,996","2,909","3,296","3,191","3,502","3,391","3,912","3,861","4,089","3,882","4,303","4,395","4,500"
Operating Profit,135,384,165,387,186,425,147,285,-7,351,75,172,148
OPM %,4%,12%,5%,11%,5%,11%,4%,7%,-0%,8%,2%,4%,3%
Other Income+,1,0,2,1,3,1,2,2,6,1,3,2,4
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,136,384,167,388,190,426,149,287,-1,352,78,173,151
Tax %,25%,25%,25%,25%,25%,25%,25%,25%,-159%,25%,29%,26%,26%
Net Profit+,102,288,125,290,142,319,111,215,1,263,55,128,111
EPS in Rs,1.75,4.95,2.15,4.95,2.43,5.45,1.89,3.66,0.01,4.47,0.93,2.18,1.89
Raw PDF,,,,,,,,,,,,,
