Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,616,658,777,856,"1,044","1,026","1,121","1,858","3,029","1,951","2,205","2,276"
Expenses+,500,512,630,692,822,790,929,"1,510","2,248","1,470","1,724","1,865"
Operating Profit,116,147,147,164,222,236,192,349,781,481,481,411
OPM %,19%,22%,19%,19%,21%,23%,17%,19%,26%,25%,22%,18%
Other Income+,2,8,4,16,20,21,17,33,64,71,97,121
Interest,7,7,4,3,2,5,6,5,4,2,2,3
Depreciation,23,30,24,20,17,35,47,40,48,57,51,53
Profit before tax,88,118,123,157,223,217,156,337,793,493,525,476
Tax %,33%,35%,35%,36%,42%,23%,26%,26%,26%,26%,26%,27%
Net Profit+,59,77,80,101,129,166,115,251,591,368,390,346
EPS in Rs,122.34,159.34,165.57,33.05,42.08,54.31,37.49,81.76,192.63,119.88,127.09,112.97
Dividend Payout %,25%,28%,9%,21%,17%,13%,29%,11%,5%,8%,9%,10%
