Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"13,615","14,271","15,062","16,825","19,240","20,211","21,713","29,101","34,489","35,495","33,906","35,584"
Expenses+,"11,372","11,546","12,068","13,621","15,475","16,049","16,857","24,298","28,229","27,910","27,899","28,888"
Operating Profit,"2,243","2,725","2,994","3,204","3,765","4,162","4,856","4,804","6,260","7,585","6,006","6,696"
OPM %,16%,19%,20%,19%,20%,21%,22%,17%,18%,21%,18%,19%
Other Income+,142,213,338,336,274,350,332,296,431,821,350,732
Interest,42,49,37,41,110,102,92,95,144,205,227,195
Depreciation,266,276,335,360,622,780,791,816,858,853,"1,026","1,229"
Profit before tax,"2,077","2,614","2,960","3,138","3,306","3,629","4,304","4,188","5,689","7,348","5,103","6,003"
Tax %,31%,32%,32%,33%,33%,24%,26%,26%,26%,24%,27%,27%
Net Profit+,"1,427","1,803","2,016","2,098","2,208","2,774","3,207","3,085","4,195","5,558","3,710","4,395"
EPS in Rs,14.54,18.19,20.22,21.26,22.48,28.20,32.73,31.59,42.81,56.92,38.23,45.09
Dividend Payout %,42%,41%,51%,41%,47%,43%,55%,61%,60%,58%,65%,61%
