Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,428,380,348,306,416,493,292,367,433,348,348,348,444
Expenses+,296,256,251,217,288,279,213,272,294,269,249,250,305
Operating Profit,133,124,96,89,128,214,79,95,140,79,100,97,139
OPM %,31%,33%,28%,29%,31%,43%,27%,26%,32%,23%,29%,28%,31%
Other Income+,20,26,20,23,24,27,27,33,25,22,30,17,23
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,31,33,35,37,39,36,38,39,39,37,40,44,48
Profit before tax,121,116,82,76,113,204,68,89,125,64,90,70,114
Tax %,33%,25%,25%,29%,19%,25%,27%,28%,8%,19%,22%,24%,19%
Net Profit+,81,87,62,54,91,152,50,64,116,52,70,53,93
EPS in Rs,3.98,4.25,3.02,2.66,4.48,7.49,2.46,3.13,5.68,2.53,3.46,2.60,4.55
Raw PDF,,,,,,,,,,,,,
