Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"43,258","42,979","40,674","47,043","59,761","68,539","67,654","68,991"
Expenses+,"38,415","38,694","36,497","41,628","52,308","59,623","58,943","60,598"
Operating Profit,"4,843","4,285","4,177","5,415","7,454","8,915","8,710","8,392"
OPM %,11%,10%,10%,12%,12%,13%,13%,12%
Other Income+,662,699,424,576,"1,112","1,511",882,950
Interest,128,156,165,132,142,158,127,106
Depreciation,"1,410","1,616","1,944","2,136","2,155","2,172","2,075","2,154"
Profit before tax,"3,968","3,213","2,493","3,723","6,269","8,095","7,391","7,082"
Tax %,35%,27%,26%,23%,26%,26%,26%,25%
Net Profit+,"2,582","2,355","1,847","2,862","4,654","5,954","5,492","5,322"
EPS in Rs,,,,,,,67.59,65.50
Dividend Payout %,0%,0%,74%,52%,100%,18%,31%,32%
