Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,707,758,798,854,886
Expenses+,622,635,724,744,713
Operating Profit,86,122,75,110,173
OPM %,12%,16%,9%,13%,20%
Other Income+,50,8,16,2,20
Interest,10,11,12,11,13
Depreciation,24,34,34,36,37
Profit before tax,102,86,46,65,143
Tax %,10%,35%,28%,-54%,19%
Net Profit+,92,56,33,100,116
EPS in Rs,27.78,16.36,2.50,7.44,6.85
Raw PDF,,,,,
