Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,772,960,993,896,983,"1,222","1,181","1,132","1,381","1,558","1,711","2,406","2,839"
Expenses+,713,868,969,845,933,"1,130","1,188","1,049","1,323","1,471","1,605","2,234","2,625"
Operating Profit,59,92,24,51,50,92,-7,83,57,87,106,172,214
OPM %,8%,10%,2%,6%,5%,7%,-1%,7%,4%,6%,6%,7%,8%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,-2,0
Interest,11,10,9,9,9,9,11,10,11,15,16,16,20
Depreciation,6,3,4,4,5,5,6,5,7,7,11,11,12
Profit before tax,42,79,12,38,36,77,-24,67,39,65,78,143,182
Tax %,26%,26%,32%,26%,22%,27%,-26%,29%,19%,30%,25%,27%,22%
Net Profit+,31,59,8,28,28,57,-17,48,31,46,59,105,143
EPS in Rs,10.01,18.91,2.70,9.00,9.08,18.19,-5.61,15.50,10.10,14.71,18.82,33.71,45.90
Raw PDF,,,,,,,,,,,,,
