Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"492,068","522,848","559,986","615,920","681,605","720,515","781,543","842,708","886,763","976,280"
Expenses+,"483,728","513,419","550,030","608,641","670,921","708,925","747,039","810,293","833,640","928,596"
Operating Profit,"8,339","9,429","9,957","7,280","10,684","11,590","34,504","32,416","53,123","47,684"
OPM %,2%,2%,2%,1%,2%,2%,4%,4%,6%,5%
Other Income+,607,801,841,"2,698",623,789,"7,661","14,661","3,305","5,596"
Interest,47,46,39,58,0,0,0,0,0,0
Depreciation,326,302,333,375,413,433,465,465,504,0
Profit before tax,"8,573","9,882","10,425","9,545","10,895","11,945","41,700","46,612","55,924","53,280"
Tax %,74%,75%,74%,72%,73%,66%,13%,13%,14%,-8%
Net Profit+,"2,232","2,446","2,688","2,713","2,901","4,043","36,397","40,676","48,151","57,419"
EPS in Rs,,,,,,3.20,28.77,32.15,38.06,45.39
Dividend Payout %,0%,0%,2%,2%,0%,23%,5%,16%,16%,11%
