Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,160,188,239,240,341,520,617,717,"1,007","1,339"
Expenses+,137,157,196,198,260,415,493,589,775,859
Operating Profit,23,31,42,42,80,105,123,128,232,480
OPM %,14%,16%,18%,17%,24%,20%,20%,18%,23%,36%
Other Income+,0,3,0,2,1,3,4,-25,17,42
Interest,3,3,5,6,6,6,2,6,6,3
Depreciation,1,2,3,4,4,10,12,16,27,36
Profit before tax,19,28,35,35,72,91,112,82,216,483
Tax %,35%,35%,34%,21%,25%,21%,26%,41%,26%,26%
Net Profit+,12,18,23,27,54,72,83,49,160,356
EPS in Rs,40.17,61.67,11.10,13.08,8.57,9.87,11.43,5.80,19.38,43.51
Dividend Payout %,0%,0%,0%,0%,0%,15%,13%,26%,8%,6%
