Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,81.98,78.80,76.65,83.24,81.61,74.08,82.55,80.72,67.52,74.79,74.33,78.30,79.18
Expenses+,65.16,64.36,62.74,66.92,66.89,61.76,71.71,68.54,61.08,67.05,66.86,70.48,73.71
Operating Profit,16.82,14.44,13.91,16.32,14.72,12.32,10.84,12.18,6.44,7.74,7.47,7.82,5.47
OPM %,20.52%,18.32%,18.15%,19.61%,18.04%,16.63%,13.13%,15.09%,9.54%,10.35%,10.05%,9.99%,6.91%
Other Income+,0.85,0.38,0.44,1.13,0.88,0.16,1.19,1.57,2.64,0.76,1.31,-3.09,1.93
Interest,2.07,1.54,1.68,1.91,1.44,1.08,1.41,1.51,1.52,1.18,1.52,1.44,0.73
Depreciation,7.95,5.22,5.12,5.85,5.95,5.29,5.18,5.26,6.43,4.92,5.09,5.02,4.92
Profit before tax,7.65,8.06,7.55,9.69,8.21,6.11,5.44,6.98,1.13,2.40,2.17,-1.73,1.75
Tax %,26.01%,28.91%,24.64%,36.53%,25.70%,25.37%,24.63%,29.08%,461.06%,25.00%,25.35%,-31.21%,37.71%
Net Profit+,5.66,5.73,5.69,6.15,6.10,4.56,4.10,4.95,-4.08,1.80,1.62,-1.19,1.09
EPS in Rs,2.48,2.51,2.49,2.70,2.67,2.00,1.80,2.17,-1.79,0.79,0.71,-0.52,0.48
Raw PDF,,,,,,,,,,,,,
