Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,113","3,432","4,145","5,059","6,262","5,810","7,014","7,283","8,429","9,804","10,244","11,540"
Expenses+,"4,039","3,271","3,878","4,506","5,539","5,149","5,888","6,317","7,659","8,673","9,080","10,044"
Operating Profit,73,161,268,553,723,661,"1,126",966,770,"1,130","1,164","1,496"
OPM %,2%,5%,6%,11%,12%,11%,16%,13%,9%,12%,11%,13%
Other Income+,124,31,36,58,99,88,160,174,228,525,601,"1,618"
Interest,58,51,32,29,20,17,13,15,13,42,29,20
Depreciation,69,58,63,73,87,107,118,132,150,224,244,255
Profit before tax,70,82,208,509,715,625,"1,155",993,835,"1,390","1,492","2,838"
Tax %,-8%,15%,37%,32%,33%,25%,25%,26%,24%,23%,15%,16%
Net Profit+,76,70,131,347,478,472,872,736,637,"1,077","1,265","2,394"
EPS in Rs,6.23,5.76,10.71,28.31,39.07,38.53,64.63,55.82,48.26,97.44,113.06,213.99
Dividend Payout %,19%,21%,14%,7%,6%,6%,12%,13%,14%,18%,25%,24%
