Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,566","1,910","2,117","1,898","1,741","2,069","2,221","1,901","1,787","1,900","1,872","1,376","1,565"
Expenses+,"1,223","1,443","1,566","1,344","1,299","1,486","1,593","1,389","1,332","1,381","1,331","1,073","1,228"
Operating Profit,343,468,551,554,442,583,628,512,456,519,541,302,337
OPM %,22%,24%,26%,29%,25%,28%,28%,27%,25%,27%,29%,22%,22%
Other Income+,51,52,49,58,60,75,123,76,75,89,85,172,74
Interest,3,4,8,7,11,8,8,8,8,4,3,6,4
Depreciation,58,70,80,78,80,83,80,99,90,96,98,105,107
Profit before tax,332,445,512,526,411,566,663,481,432,507,525,363,300
Tax %,16%,14%,6%,15%,10%,21%,23%,22%,24%,21%,22%,14%,33%
Net Profit+,281,383,480,449,370,449,508,373,330,400,409,311,200
EPS in Rs,18.49,25.24,31.67,29.57,24.35,29.58,33.50,24.57,21.78,26.36,26.98,20.52,13.20
Raw PDF,,,,,,,,,,,,,
