Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"47,548","51,168","75,039","78,008","79,434","81,546","83,002","85,040","86,779","87,372","86,994","87,067","87,182"
Interest,"22,606","25,955","41,250","43,242","43,692","44,580","45,414","46,914","46,986","47,709","46,741","45,821","45,220"
Expenses+,"17,770","18,470","45,349","50,530","62,938","49,690","52,074","41,307","47,709","64,497","45,161","54,145","44,028"
Financing Profit,"7,172","6,744","-11,560","-15,764","-27,196","-12,723","-14,487","-3,181","-7,916","-24,833","-4,908","-12,899","-2,066"
Financing Margin %,15%,13%,-15%,-20%,-34%,-16%,-17%,-4%,-9%,-28%,-6%,-15%,-2%
Other Income+,"9,610","9,853","32,528","37,007","44,958","35,450","38,455","27,154","33,489","45,683","31,567","39,860","29,737"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"16,783","16,597","20,967","21,243","17,761","22,727","23,968","23,973","25,573","20,850","26,659","26,961","27,672"
Tax %,25%,25%,17%,17%,-1%,24%,22%,24%,25%,18%,24%,23%,24%
Net Profit+,"12,634","12,403","17,312","17,718","18,013","17,188","18,627","18,340","19,285","17,090","20,364","20,691","21,074"
EPS in Rs,11.29,11.06,11.09,11.37,11.60,10.83,11.68,11.54,12.31,10.60,12.76,12.87,13.22
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
