Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,805,850,584,824,722,732,658,672,914,837,"1,028",914,"1,713"
Expenses+,718,777,503,741,618,658,592,609,669,769,948,824,"1,297"
Operating Profit,87,74,81,83,103,74,67,63,246,67,79,89,416
OPM %,11%,9%,14%,10%,14%,10%,10%,9%,27%,8%,8%,10%,24%
Other Income+,117,32,57,60,62,153,35,36,36,35,154,135,239
Interest,4,2,3,3,2,2,2,2,8,4,3,3,10
Depreciation,4,5,5,5,3,4,4,4,5,5,6,6,6
Profit before tax,196,99,130,135,160,220,96,93,268,94,224,216,639
Tax %,21%,25%,20%,20%,21%,25%,25%,29%,16%,26%,26%,15%,18%
Net Profit+,155,74,104,108,126,165,72,66,226,69,167,183,524
EPS in Rs,4.43,2.12,2.96,3.07,3.59,4.71,2.06,1.87,6.43,1.97,4.75,5.22,14.94
Raw PDF,,,,,,,,,,,,,
